id,current_year,next_year,current_batting_avg,model_prediction,trend_prediction,combined_prediction
davip102,1949,1950,0.5987654320987654,0.6141017100328776,0.6541344521877193,0.6341180811102984
vargt101,1943,1944,0.5111111111111111,0.4983427096013426,0.5838095238095207,0.5410761167054317
bankf101,1944,1945,0.49107142857142855,0.4774309957304357,0.5062693696673151,0.49185018269887537
hills101,1947,1948,0.4878048780487805,0.4912531468696113,0.4878048780487805,0.4895290124591959
hundj101,1943,1944,0.4857142857142857,0.47263169036151204,0.4857142857142857,0.4791729880378989
wilsa101,1948,1949,0.4742857142857143,0.4626802635832095,0.45412841586338715,0.4584043397232983
trouq101,1946,1947,0.4666666666666667,0.484925140083248,0.4666666666666667,0.47579590337495736
cabrl102,1949,1950,0.46534653465346537,0.4429713778741808,0.5076235064254462,0.4752974421498135
gracw101,1947,1948,0.4563106796116505,0.4466706603707472,0.4563106796116505,0.45149066999119886
chrit101,1943,1944,0.45535714285714285,0.44593503730815826,0.5599013859275033,0.5029182116178308
steee102,1949,1950,0.44785276073619634,0.4371432786434347,0.45386744178991734,0.445505360216676
bellj103,1946,1947,0.43846153846153846,0.4175926186813371,0.40827602380170447,0.4129343212415208
mcdaf101,1944,1945,0.43119266055045874,0.4268678149062062,0.43119266055045874,0.4290302377283325
radca101,1943,1944,0.4236111111111111,0.42425130784218523,0.36435606580941027,0.39430368682579775
fordj101,1944,1945,0.4224137931034483,0.4166971968209795,0.3957832370658636,0.40624021694342155
penna101,1945,1946,0.4206896551724138,0.4159364064477411,0.4640479994255884,0.43999220293666474
cania101,1945,1946,0.41935483870967744,0.4237229050154489,0.41935483870967744,0.42153887186256317
xiqul101,1944,1945,0.41935483870967744,0.40579514739211786,0.41935483870967744,0.4125749930508976
willj110,1942,1943,0.4174757281553398,0.4216062594784171,0.36796645597378586,0.3947863577261015
mccah102,1938,1939,0.4117647058823529,0.4130124304430741,0.4117647058823529,0.4123885681627135
gibsj101,1946,1947,0.40932642487046633,0.42645871782400363,0.42375129176230253,0.42510500479315305
riddm101,1943,1944,0.4074074074074074,0.4042546406770639,0.43068783068783034,0.41747123568244715
longr102,1943,1944,0.4056603773584906,0.4010623374014083,0.4456920807223099,0.4233772090618591
reevd101,1938,1939,0.40540540540540543,0.411618679694181,0.40540540540540543,0.40851204254979323
dougj102,1945,1946,0.4,0.39944559831287774,0.42901960784313786,0.4142326030780078
rogen101,1938,1939,0.3937007874015748,0.39651189031759687,0.3937007874015748,0.39510633885958585
